,Serial_Number,Restaurant_Name,Location_Name,Category_Name,Address,City,Current_Demerits,Current_Grade,Date_Current,Inspection_Date,Inspection_Type,Inspection_Demerits,Inspection_Grade,Inspection_Result,Violations,Location_1,ObjectId,Latitude,Longitude,latitude,longitude
0,DADUHPSV0,BELLAGIO CHOC PUMP ROOM,BELLAGIO RESORT AND CASINO,Special Kitchen,3600 S Las Vegas Blvd,Las Vegas,0,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Routine Inspection,0,A,'A' Grade,,"(36.1125269,115.175947)",315507,0.0,0.0,36.11253,115.17595
1,DAWNDIZHU,Yard House - Prep 1 Pantry #8327,"Yard House Summerlin, LLC",Meat/Poultry/Seafood,11011 W Charleston Blvd,Las Vegas,3,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Routine Inspection,3,A,'A' Grade,215.0,"(36.1478557,115.3468323)",315508,0.0,0.0,36.14786,115.34683
2,DAXPEDNFX,TEA & WHISK SNACK BAR,TEA & WHISK,Snack Bar,10271 S EASTERN Ave 116,Henderson,0,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Re-inspection,0,A,'A' Grade,,"(36.0029991,115.1105835)",315510,0.0,0.0,36.003,115.11058
3,DACPXYR5B,Yard House - Restaurant #8327,"Yard House Summerlin, LLC",Restaurant,11011 W Charleston Blvd,Las Vegas,0,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Routine Inspection,0,A,'A' Grade,,"(36.1478557,115.3468323)",315513,0.0,0.0,36.14786,115.34683
4,DAUM5HEFK,ARCO AM/PM Convenience Store - Deli,ARCO AM/PM Convenience Store,Restaurant,5705 S Rainbow Blvd,Las Vegas,3,A,2020-01-24T00:00:00.000Z,2019-09-19T00:00:00.000Z,Re-inspection,0,A,'A' Grade,2927.0,"(36.084969,115.242943)",315515,0.0,0.0,36.08497,115.24294
5,DAGOQPLMO,RIO COMEDY CELLAR BAR,RIO SUITES HOTEL,Bar / Tavern,3700 W Flamingo Rd,Las Vegas,3,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Routine Inspection,3,A,'A' Grade,2955.0,"(36.1153361,115.1869825)",315517,0.0,0.0,36.11534,115.18698
6,DA79H00JC,STRIPCHEZZE MOBILE,STRIPCHEZZE MOBILE,Food Trucks / Mobile Vendor,640 N EASTERN Ave,Las Vegas,0,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Routine Inspection,0,A,'A' Grade,,"(36.1756188,115.1158427)",315518,0.0,0.0,36.17562,115.11584
7,DAMW4N5IO,McDonald's #26497,McDonald's #26497,Restaurant,8425 Centennial Pkwy,Las Vegas,0,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Re-inspection,0,A,'A' Grade,,"(36.2769844,115.2793163)",315519,0.0,0.0,36.27698,115.27932
8,DAQQYP5BD,LINQ HOTEL ESSENTIALS STORAGE,LINQ HOTEL & CASINO,Bar / Tavern,3535 S LAS VEGAS Blvd,Las Vegas,0,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Routine Inspection,0,A,'A' Grade,,"(36.1181779,115.1713151)",315522,0.0,0.0,36.11818,115.17132
9,DAZ0AQJ6M,VENTANO BANQUET PORTABLE BAR,Ventano Restaurant & Lounge,Portable Bar,191 S Arroyo Grande Blvd,Henderson,0,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Routine Inspection,0,A,'A' Grade,,"(36.019811,115.053357)",315524,0.0,0.0,36.01981,115.05336
10,DABJSUZ7D,Schwan's Mobile Unit #519628,Schwan's Home Service Mobile Unit,Frozen Meat Sales,2980 MARION Dr,Las Vegas,0,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Routine Inspection,0,A,'A' Grade,2928.0,"(36.213691,115.070489)",315525,0.0,0.0,36.21369,115.07049
11,DACNG0SJ3,DOTTY'S #56,DOTTY'S #56,Bar / Tavern,840 N Decatur Blvd,Las Vegas,0,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Routine Inspection,0,A,'A' Grade,,"(36.180332,115.205031)",315527,0.0,0.0,36.18033,115.20503
12,DAR1RM16D,TMA - EA3 BAR,LEVY @ T-MOBILE ARENA,Bar / Tavern,3780 S LAS VEGAS,Las Vegas,0,A,2020-01-24T00:00:00.000Z,2019-11-07T00:00:00.000Z,Routine Inspection,0,A,'A' Grade,,"(36.1026669,115.1782075)",315528,0.0,0.0,36.10267,115.17821
13,DAL3CQFS7,Sunset Station Dessert Station,Sunset Station Hotel & Casino,Buffet,1301 W Sunset Rd,Henderson,3,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Routine Inspection,3,A,'A' Grade,215.0,"(36.0612593,115.0402972)",315529,0.0,0.0,36.06126,115.0403
14,DAZJVJFBL,SUGAR ROLL ICE CREAM,SUGAR ROLL ICE CREAM,Snack Bar,1727 E CHARLESTON Blvd C,Las Vegas,3,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Routine Inspection,3,A,'A' Grade,2955.0,"(36.15919,115.12701)",315530,0.0,0.0,36.15919,115.12701
15,DAD60GK1I,Schwan's Mobile Unit #519546,Schwan's Home Service Mobile Unit,Frozen Meat Sales,2980 MARION Dr,Las Vegas,0,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Routine Inspection,0,A,'A' Grade,,"(36.213691,115.070489)",315531,0.0,0.0,36.21369,115.07049
16,DAD7REAJ0,TAQUERIA EL BUEN PASTOR,TAQUERIA EL BUEN PASTOR,Restaurant,301 S DECATUR,Las Vegas,0,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Re-inspection,0,A,'A' Grade,,"(36.1697444,115.2054358)",315534,0.0,0.0,36.16974,115.20544
17,DAKV6JEXW,TAQUERIA EL BUEN PASTOR,TAQUERIA EL BUEN PASTOR,Restaurant,301 S DECATUR,Las Vegas,0,A,2020-01-24T00:00:00.000Z,2019-10-16T00:00:00.000Z,Routine Inspection,0,B,'B' Downgrade,,"(36.1697444,115.2054358)",315536,0.0,0.0,36.16974,115.20544
18,DAZNNIR04,HAMMERHEADS,HAMMERHEADS,Snack Bar,3310 S Nellis Blvd,Las Vegas,0,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Routine Inspection,0,A,'A' Grade,,"(36.129217,115.065088)",315538,0.0,0.0,36.12922,115.06509
19,DARBJNTSE,L & L Hawaiian BBQ,L & L Hawaiian BBQ,Restaurant,7891 W Tropical Pkwy,Las Vegas,0,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Re-inspection,0,A,'A' Grade,2930.0,"(36.270522,115.268044)",315539,0.0,0.0,36.27052,115.26804
20,DAX1O8W0X,SCHWAN'S MOBILE UNIT #517091,Schwan's Home Service Mobile Unit,Frozen Meat Sales,2980 MARION Dr,Las Vegas,0,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Routine Inspection,0,A,'A' Grade,,"(36.213691,115.070489)",315540,0.0,0.0,36.21369,115.07049
21,DANH74N75,BORN AND RAISED RESTAURANT,Born and Raised Restaurant,Restaurant,7260 S Cimarron Rd,Las Vegas,0,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Re-inspection,0,A,'A' Grade,,"(36.056387,115.2693277)",315541,0.0,0.0,36.05639,115.26933
22,DAP6YQ01H,ROBERTO'S TACO SHOP,ROBERTO'S TACO SHOP,Restaurant,72 W HORIZON RIDGE -155,Henderson,3,A,2020-01-24T00:00:00.000Z,2019-10-24T00:00:00.000Z,Routine Inspection,0,A,'A' Grade,,"(36.0131432,114.9925851)",315543,0.0,0.0,36.01314,114.99259
23,DAYPYDE8L,SCHWAN'S HOME SERVICE TRUCK #519260,Schwan's Home Service Mobile Unit,Frozen Meat Sales,2980 MARION Dr,Las Vegas,0,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Routine Inspection,0,A,'A' Grade,2928.0,"(36.213691,115.070489)",315545,0.0,0.0,36.21369,115.07049
24,DAZQR12LQ,50 SHADES TASTIER MOBILE,UNICORN POOP/50 SHADES TASTIER/50 SHADES OF GREEN,Food Trucks / Mobile Vendor,4181 W PIONEER Ave,Las Vegas,3,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Routine Inspection,3,A,'A' Grade,211.0,"(36.128983,115.2021645)",315546,0.0,0.0,36.12898,115.20216
25,DADX0WXC5,Sunset Station Asian Station,Sunset Station Hotel & Casino,Buffet,1301 W Sunset Rd,Henderson,0,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Routine Inspection,0,A,'A' Grade,2928.0,"(36.0612593,115.0402972)",315547,0.0,0.0,36.06126,115.0403
26,DARM0INXS,Sunset Station American Station,Sunset Station Hotel & Casino,Buffet,1301 W Sunset Rd,Henderson,5,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Routine Inspection,5,A,'A' Grade,2954.0,"(36.0612593,115.0402972)",315548,0.0,0.0,36.06126,115.0403
27,DAKEKHCDY,"Goldfarb, Daniel ES Kitchen","Goldfarb, Daniel Elementary School",Elementary School Kitchen,1650 Orchard Valley Dr,Las Vegas,0,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Routine Inspection,0,A,'A' Grade,,"(36.1536838,115.0366843)",315549,0.0,0.0,36.15368,115.03668
28,DAYD4EBUF,7-Eleven #32225 - SNACK BAR,7-Eleven Food Store #32225,Snack Bar,405 E Silverado Ranch Blvd,Las Vegas,0,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Re-inspection,0,A,'A' Grade,,"(36.0128454,115.1542808)",315551,0.0,0.0,36.01285,115.15428
29,DAWB4MUPP,DOTTY'S #67 SNACK BAR,DOTTY'S #67,Snack Bar,2795 W Lake Mead Blvd,North Las Vegas,0,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Re-inspection,0,A,'A' Grade,,"(36.1972507,115.1778762)",315552,0.0,0.0,36.19725,115.17788
30,DAE5TK4PZ,SCHWAN'S MOBILE UNIT #518593,Schwan's Home Service Mobile Unit,Frozen Meat Sales,2980 MARION Dr,Las Vegas,0,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Routine Inspection,0,A,'A' Grade,,"(36.213691,115.070489)",315555,0.0,0.0,36.21369,115.07049
31,DAZR6UYCL,TAQUERIA EL BUEN PASTOR,TAQUERIA EL BUEN PASTOR,Restaurant,301 S DECATUR,Las Vegas,0,A,2020-01-24T00:00:00.000Z,2019-11-05T00:00:00.000Z,Re-inspection,5,A,'A' Grade,204.0,"(36.1697444,115.2054358)",315557,0.0,0.0,36.16974,115.20544
32,DAYERLLU0,RIO PENN & TELLER BAR,RIO SUITES HOTEL,Bar / Tavern,3700 W Flamingo Rd,Las Vegas,0,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Routine Inspection,0,A,'A' Grade,2930.0,"(36.1163819,115.1850253)",315558,0.0,0.0,36.11638,115.18503
33,DASOWVDVP,TACO BELL #31918,TACO BELL #31918,Restaurant,401 S DECATUR,Las Vegas,0,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Routine Inspection,0,A,'A' Grade,,"(36.1681008,115.2055664)",315559,0.0,0.0,36.1681,115.20557
34,DAFJRXGOY,Stanford Elementary School Kitchen,Stanford Elementary School,Elementary School Kitchen,5350 Harris Ave,Las Vegas,0,A,2020-01-24T00:00:00.000Z,2019-10-18T00:00:00.000Z,Routine Inspection,0,A,'A' Grade,,"(36.1784893,115.0566646)",315560,0.0,0.0,36.17849,115.05666
35,DAFZNMLMI,Quicky's Convenience Center Snack,Quicky's Convenience Center,Snack Bar,4400 N Jones Blvd,Las Vegas,3,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Routine Inspection,3,A,'A' Grade,215.0,"(36.2393976,115.2250413)",315563,0.0,0.0,36.2394,115.22504
36,DARXWKTD0,DOTTY'S #56 SNACK BAR,DOTTY'S #56,Snack Bar,840 N Decatur Blvd,Las Vegas,0,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Routine Inspection,0,A,'A' Grade,,"(36.180332,115.205031)",315567,0.0,0.0,36.18033,115.20503
37,DASNOZHCB,WAHOO'S FISH TACO - BAR,WAHOO'S FISH TACO,Bar / Tavern,7930 W TROPICAL Pkwy,Las Vegas,0,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Routine Inspection,0,A,'A' Grade,,"(36.2709431,115.2681725)",315568,0.0,0.0,36.27094,115.26817
38,DAJ98OPFI,Ventano Prep Kitchen,Ventano Restaurant & Lounge,Special Kitchen,191 S Arroyo Grande Blvd,Henderson,3,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Re-inspection,3,A,'A' Grade,2955.0,"(36.019811,115.053357)",315570,0.0,0.0,36.01981,115.05336
39,DAOQHP7I5,Stanford Elementary School Kitchen,Stanford Elementary School,Elementary School Kitchen,5350 Harris Ave,Las Vegas,0,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Routine Inspection,0,A,'A' Grade,,"(36.1784893,115.0566646)",315571,0.0,0.0,36.17849,115.05666
40,DAYLIPO1Y,REBEL #87 - SNACK BAR,Rebel Convenience Store #87,Snack Bar,1200 W Warm Springs Rd,Henderson,0,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Routine Inspection,0,A,'A' Grade,2930.0,"(36.0569128,115.0380232)",315572,0.0,0.0,36.05691,115.03802
41,DA0FEOCZP,TMA LEVY - EA GRID #5 EAST VOM PUSF BAR,LEVY @ T-MOBILE,Portable Unit,3780 S LAS VEGAS Blvd,Las Vegas,0,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Routine Inspection,0,A,'A' Grade,,"(36.103518,115.173592)",315573,0.0,0.0,36.10352,115.17359
42,DAJCD2KZQ,Green Valley #11 - Deli,Green Valley #11,Snack Bar,4799 W Lone Mountain Rd,North Las Vegas,3,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Routine Inspection,3,A,'A' Grade,2955.0,"(36.2463192,115.2066675)",315575,0.0,0.0,36.24632,115.20667
43,DA0LPBMQS,TMA - EA3 BAR,LEVY @ T-MOBILE ARENA,Bar / Tavern,3780 S LAS VEGAS,Las Vegas,0,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Routine Inspection,0,A,'A' Grade,,"(36.1026669,115.1782075)",315576,0.0,0.0,36.10267,115.17821
44,DAS20MGJM,J.J.'S PIZZA,J.J.'S PIZZA,Restaurant,3310 S Nellis Blvd 32,Las Vegas,0,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Routine Inspection,0,A,'A' Grade,2928.0,"(36.128647,115.064608)",315577,0.0,0.0,36.12865,115.06461
45,DA8TEVH3R,RIO W O W BAR,RIO SUITES HOTEL,Bar / Tavern,3700 W Flamingo Rd,Las Vegas,0,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Routine Inspection,0,A,'A' Grade,2930.0,"(36.1153361,115.1869825)",315581,0.0,0.0,36.11534,115.18698
46,DADYBY3Q0,TMA - EA8 BAR,LEVY @ T-MOBILE ARENA,Bar / Tavern,3780 S LAS VEGAS,Las Vegas,5,A,2020-01-24T00:00:00.000Z,2020-01-24T00:00:00.000Z,Routine Inspection,5,A,'A' Grade,206.0,"(36.1026669,115.1782075)",315582,0.0,0.0,36.10267,115.17821
